freq(Hz),measuredVpp(V)
1000,3.360000
2000,3.400000
3000,3.400000
4000,3.400000
5000,3.400000
6000,3.440000
7000,3.400000
8000,3.400000
9000,3.400000
10000,3.400000
11000,3.400000
12000,3.400000
13000,3.440000
14000,3.400000
15000,3.440000
16000,3.440000
17000,3.440000
18000,3.440000
19000,3.440000
20000,3.440000
21000,3.400000
22000,3.440000
23000,3.440000
24000,3.440000
25000,3.400000
26000,3.440000
27000,3.400000
28000,3.440000
29000,3.440000
30000,3.440000
31000,3.400000
32000,3.440000
33000,3.440000
34000,3.440000
35000,3.440000
36000,3.400000
37000,3.440000
38000,3.440000
39000,3.440000
40000,3.440000
41000,3.440000
42000,3.440000
43000,3.440000
44000,3.440000
45000,3.440000
46000,3.440000
47000,3.440000
48000,3.440000
49000,3.440000
50000,3.440000
51000,3.440000
52000,3.440000
53000,3.440000
54000,3.440000
55000,3.440000
56000,3.440000
57000,3.480000
58000,3.440000
59000,3.440000
60000,3.440000
61000,3.480000
62000,3.440000
63000,3.440000
64000,3.440000
65000,3.440000
66000,3.440000
67000,3.440000
68000,3.440000
69000,3.440000
70000,3.440000
71000,3.440000
72000,3.440000
73000,3.440000
74000,3.440000
75000,3.480000
76000,3.440000
77000,3.440000
78000,3.480000
79000,3.480000
80000,3.480000
81000,3.480000
82000,3.440000
83000,3.480000
84000,3.480000
85000,3.480000
86000,3.480000
87000,3.480000
88000,3.480000
89000,3.480000
90000,3.480000
91000,3.480000
92000,3.480000
93000,3.480000
94000,3.440000
95000,3.480000
96000,3.480000
97000,3.480000
98000,3.480000
99000,3.480000
100000,3.480000
