freq(Hz),measuredVpp(V)
1000,1.640000
2000,1.040000
3000,0.720000
4000,0.544000
5000,0.440000
6000,0.376000
7000,0.328000
8000,0.288000
9000,0.248000
10000,0.232000
11000,0.224000
12000,0.200000
13000,0.184000
14000,0.164000
15000,0.148000
16000,0.140000
17000,0.128000
18000,0.124000
19000,0.112000
20000,0.112000
21000,0.100000
22000,0.096000
23000,0.096000
24000,0.092000
25000,0.092000
26000,0.072000
27000,0.068800
28000,0.068000
29000,0.056000
30000,0.051200
31000,0.045600
32000,0.045600
33000,0.040000
34000,0.039200
35000,0.039200
36000,0.040000
37000,0.041600
38000,0.036800
39000,0.034000
40000,0.028800
41000,0.027400
42000,0.028800
43000,0.026600
44000,0.026400
45000,0.029200
46000,0.035400
47000,0.036000
48000,0.032600
49000,0.038600
50000,0.041200
51000,0.042600
52000,0.042200
53000,0.036600
54000,0.047400
55000,0.047800
56000,0.048800
57000,0.065200
58000,0.057600
59000,0.061200
60000,0.060400
61000,0.061600
62000,0.065600
63000,0.067200
64000,0.059200
65000,0.061600
66000,0.062400
67000,0.065600
68000,0.080800
69000,0.077600
70000,0.073600
71000,0.084800
72000,0.087200
73000,0.079200
74000,0.085600
75000,0.088000
76000,0.089600
77000,0.096800
78000,0.095200
79000,0.093600
80000,0.097600
81000,0.103000
82000,0.104000
83000,0.105000
84000,0.102000
85000,0.102000
86000,0.105000
87000,0.103000
88000,0.109000
89000,0.111000
90000,0.112000
91000,0.112000
92000,0.118000
93000,0.118000
94000,0.116000
95000,0.120000
96000,0.122000
97000,0.123000
98000,0.125000
99000,0.121000
100000,0.124000
