freq(Hz),measuredVpp(V)
1000,0.408000
2000,0.420000
3000,0.400000
4000,0.388000
5000,0.372000
6000,0.360000
7000,0.344000
8000,0.332000
9000,0.320000
10000,0.292000
11000,0.312000
12000,0.268000
13000,0.260000
14000,0.260000
15000,0.244000
16000,0.220000
17000,0.228000
18000,0.228000
19000,0.184000
20000,0.224000
21000,0.192000
22000,0.172000
23000,0.176000
24000,0.184000
25000,0.168000
26000,0.132000
27000,0.160000
28000,0.148000
29000,0.148000
30000,0.144000
31000,0.136000
32000,0.136000
33000,0.140000
34000,0.124000
35000,0.116000
36000,0.124000
37000,0.112000
38000,0.112000
39000,0.116000
40000,0.104000
41000,0.108000
42000,0.112000
43000,0.112000
44000,0.124000
45000,0.128000
46000,0.108000
47000,0.124000
48000,0.116000
49000,0.124000
50000,0.128000
51000,0.124000
52000,0.132000
53000,0.124000
54000,0.140000
55000,0.128000
56000,0.144000
57000,0.144000
58000,0.148000
59000,0.148000
60000,0.152000
61000,0.172000
62000,0.140000
63000,0.168000
64000,0.152000
65000,0.144000
66000,0.172000
67000,0.180000
68000,0.168000
69000,0.160000
70000,0.168000
71000,0.188000
72000,0.164000
73000,0.184000
74000,0.196000
75000,0.168000
76000,0.172000
77000,0.180000
78000,0.184000
79000,0.192000
80000,0.188000
81000,0.212000
82000,0.208000
83000,0.212000
84000,0.204000
85000,0.200000
86000,0.196000
87000,0.212000
88000,0.216000
89000,0.216000
90000,0.200000
91000,0.220000
92000,0.196000
93000,0.200000
94000,0.208000
95000,0.216000
96000,0.228000
97000,0.224000
98000,0.240000
99000,0.220000
100000,0.212000
