//result 1
Frequency(Hz),MeasuredVpp(V)
100,5.200000
200,4.960000
300,4.800000
400,4.480000
500,4.160000
600,3.920000
700,3.600000
800,3.280000
900,3.120000
1000,2.800000
1100,2.640000
1200,2.480000
1300,2.320000
1400,2.160000
1500,2.160000
1600,2.000000
1700,1.840000
1800,1.840000
1900,1.680000
2000,1.680000
2100,1.520000
2200,1.520000
2300,1.440000
2400,1.360000
2500,1.360000
2600,1.280000
2700,1.200000
2800,1.200000
2900,1.200000
3000,1.120000

//result 2
Frequency(Hz),MeasuredVpp(V)
100,5.200000
200,4.960000
300,4.720000
400,4.400000
500,4.160000
600,3.840000
700,3.600000
800,3.280000
900,3.120000
1000,2.800000
1100,2.640000
1200,2.480000
1300,2.320000
1400,2.160000
1500,2.160000
1600,2.000000
1700,1.840000
1800,1.840000
1900,1.680000
2000,1.680000
2100,1.520000
2200,1.520000
2300,1.440000
2400,1.360000
2500,1.360000
2600,1.200000
2700,1.200000
2800,1.200000
2900,1.200000
3000,1.120000

//result 3
Frequency(Hz),MeasuredVpp(V)
100,5.120000
200,4.960000
300,4.800000
400,4.480000
500,4.160000
600,3.840000
700,3.600000
800,3.280000
900,3.120000
1000,2.800000
1100,2.640000
1200,2.480000
1300,2.320000
1400,2.160000
1500,2.160000
1600,2.000000
1700,1.840000
1800,1.840000
1900,1.680000
2000,1.680000
2100,1.520000
2200,1.520000
2300,1.520000
2400,1.360000
2500,1.360000
2600,1.280000
2700,1.200000
2800,1.200000
2900,1.200000
3000,1.200000



